id,question,xiyan_execution_success,xiyan_row_count,has_employee_change,has_2199_current_record_filter,has_department_or_position_scope,has_non_current_status_exclusion,current_employee_scope_ok_basic,xiyan_error,xiyan_sql
reconcile_hr_extra_001,当前拥有正高级工程师职称的员工名单及所在子公司是什么？,True,2,True,True,True,True,True,,"SELECT DISTINCT ei.`员工姓名`, ei.`组织`
FROM employee_info ei
JOIN employee_change ec ON ec.`员工编号` = ei.`员工编号`
WHERE ec.`结束日期` LIKE '2199%'
AND (ec.`部门` IS NOT NULL AND TRIM(ec.`部门`) <> '' OR ec.`职位` IS NOT NULL AND TRIM(ec.`职位`) <> '')
AND COALESCE(NULLIF(TRIM(ec.`用工关系状态`), ''), NULLIF(TRIM(ei.`用工类型`), ''), '') NOT IN ('离职', '辞职', '辞退', '退休', '实习终止', '返聘终止')
AND ei.`最高职称级别` = '正高级'
AND ei.`最高职称内容` = '正高级工程师';"
reconcile_hr_extra_002,当前各子公司副高级及以上职称员工占本公司当前员工比例是多少？,True,18,True,True,True,True,True,,"SELECT
ei.`组织` AS 子公司,
COUNT(DISTINCT CASE WHEN ei.`最高职称级别` IN ('副高级', '正高级') THEN ei.`员工编号` END) * 100.0 / COUNT(DISTINCT ei.`员工编号`) AS 比例
FROM employee_info ei
JOIN employee_change ec ON ec.`员工编号` = ei.`员工编号`
WHERE ec.`结束日期` LIKE '2199%'
AND (
(ec.`部门` IS NOT NULL AND TRIM(ec.`部门`) <> '')
OR (ec.`职位` IS NOT NULL AND TRIM(ec.`职位`) <> '')
)
AND COALESCE(NULLIF(TRIM(ec.`用工关系状态`), ''), NULLIF(TRIM(ei.`用工类型`), ''), '') NOT IN
('离职', '辞职', '辞退', '退休', '实习终止', '返聘终止')
AND ei.`组织` IS NOT NULL
AND TRIM(ei.`组织`) <> ''
AND TRIM(ei.`组织`) NOT IN ('未填写', '未知', '无', 'N/A')
GROUP BY ei.`组织`
ORDER BY 比例"
reconcile_hr_extra_003,当前岗位是研发工程师但没有任何职称记录的员工有多少人？,True,1,True,True,True,True,True,,"SELECT COUNT(DISTINCT ei.`员工编号`)
FROM employee_info ei
JOIN employee_change ec ON ec.`员工编号` = ei.`员工编号`
WHERE ec.`结束日期` LIKE '2199%'
AND (ec.`部门` IS NOT NULL AND TRIM(ec.`部门`) <> '')
AND COALESCE(NULLIF(TRIM(ec.`用工关系状态`), ''), NULLIF(TRIM(ei.`用工类型`), ''), '') NOT IN ('离职', '辞职', '辞退', '退休', '实习终止', '返聘终止')
AND ec.`职位` = '研发工程师'
AND (ei.`最高职称内容` IS NULL OR TRIM(ei.`最高职称内容`) = '' OR ei.`最高职称内容` = '无');"
reconcile_hr_extra_004,当前拥有会计师职称的员工分别在哪些岗位？,True,12,True,True,True,True,True,,"SELECT DISTINCT ec.`职位`
FROM employee_info ei
JOIN employee_change ec ON ec.`员工编号` = ei.`员工编号`
WHERE ec.`结束日期` LIKE '2199%'
AND (ec.`部门` IS NOT NULL AND TRIM(ec.`部门`) <> '' OR ec.`职位` IS NOT NULL AND TRIM(ec.`职位`) <> '')
AND COALESCE(NULLIF(TRIM(ec.`用工关系状态`), ''), NULLIF(TRIM(ei.`用工类型`), ''), '') NOT IN ('离职', '辞职', '辞退', '退休', '实习终止', '返聘终止')
AND ei.`最高职称内容` = '会计师';"
reconcile_hr_extra_005,当前初级职称员工中年龄30岁及以下的人数是多少？,True,1,True,True,True,True,True,,"SELECT COUNT(DISTINCT ei.`员工编号`)
FROM employee_info ei
JOIN employee_change ec ON ec.`员工编号` = ei.`员工编号`
WHERE ec.`结束日期` LIKE '2199%'
AND ((ec.`部门` IS NOT NULL AND TRIM(ec.`部门`) <> '') OR (ec.`职位` IS NOT NULL AND TRIM(ec.`职位`) <> ''))
AND COALESCE(NULLIF(TRIM(ec.`用工关系状态`), ''), NULLIF(TRIM(ei.`用工类型`), ''), '') NOT IN ('离职', '辞职', '辞退', '退休', '实习终止', '返聘终止')
AND ei.`最高职称级别` = '初级'
AND ei.`年龄` <= 30;"
reconcile_hr_extra_006,当前职称名称为技术员但岗位不是技术员的员工有哪些？,True,2,True,True,True,True,True,,"SELECT DISTINCT ei.`员工编号`, ei.`员工姓名`
FROM employee_info ei
JOIN employee_change ec ON ec.`员工编号` = ei.`员工编号`
WHERE ec.`结束日期` LIKE '2199%'
AND (ec.`部门` IS NOT NULL AND TRIM(ec.`部门`) <> '' OR ec.`职位` IS NOT NULL AND TRIM(ec.`职位`) <> '')
AND COALESCE(NULLIF(TRIM(ec.`用工关系状态`), ''), NULLIF(TRIM(ei.`用工类型`), ''), '') NOT IN ('离职', '辞职', '辞退', '退休', '实习终止', '返聘终止')
AND ei.`最高职称内容` = '技术员'
AND (ec.`职位` IS NULL OR TRIM(ec.`职位`) = '' OR ec.`职位` != '技术员');"
reconcile_hr_extra_007,当前岗位名称包含“工程师”的员工按岗位分布前10是什么？,True,10,True,True,True,True,True,,"SELECT ec.`职位`, COUNT(DISTINCT ei.`员工编号`) AS cnt
FROM employee_info ei
JOIN employee_change ec ON ec.`员工编号` = ei.`员工编号`
WHERE ec.`结束日期` LIKE '2199%'
AND (ec.`部门` IS NOT NULL AND TRIM(ec.`部门`) <> '')
AND COALESCE(NULLIF(TRIM(ec.`用工关系状态`), ''), NULLIF(TRIM(ei.`用工类型`), ''), '') NOT IN ('离职', '辞职', '辞退', '退休', '实习终止', '返聘终止')
AND ec.`职位` IS NOT NULL AND TRIM(ec.`职位`) <> ''
AND TRIM(ec.`职位`) NOT IN ('未填写', '未知', '无', 'N/A')
AND ec.`职位` LIKE '%工程师%'
GROUP BY ec.`职位`
ORDER BY cnt DESC
LIMIT 10;"
reconcile_hr_extra_008,当前操作员岗位在各子公司分别有多少人？,True,5,True,True,True,True,True,,"SELECT ei.`组织`, COUNT(DISTINCT ei.`员工编号`) AS employee_count
FROM employee_info ei
JOIN employee_change ec ON ec.`员工编号` = ei.`员工编号`
WHERE ec.`结束日期` LIKE '2199%'
AND (ec.`部门` IS NOT NULL AND TRIM(ec.`部门`) <> '')
AND COALESCE(NULLIF(TRIM(ec.`用工关系状态`), ''), NULLIF(TRIM(ei.`用工类型`), ''), '') NOT IN ('离职', '辞职', '辞退', '退休', '实习终止', '返聘终止')
AND ec.`职位` = '操作员'
AND ei.`组织` IS NOT NULL
AND TRIM(ei.`组织`) <> ''
AND TRIM(ei.`组织`) NOT IN ('未填写', '未知', '无', 'N/A')
GROUP BY ei.`组织`
ORDER BY employee_count DESC;"
reconcile_hr_extra_009,当前经理和副经理岗位分别有多少人？,True,1,True,True,True,True,True,,"SELECT
SUM(CASE WHEN ec.`职位` LIKE '%经理%' AND ec.`职位` NOT LIKE '%副经理%' THEN 1 ELSE 0 END) AS manager_count,
SUM(CASE WHEN ec.`职位` LIKE '%副经理%' THEN 1 ELSE 0 END) AS deputy_manager_count
FROM employee_info ei
JOIN employee_change ec ON ec.`员工编号` = ei.`员工编号`
WHERE ec.`结束日期` LIKE '2199%'
AND (ec.`部门` IS NOT NULL AND TRIM(ec.`部门`) <> '')
AND COALESCE(NULLIF(TRIM(ec.`用工关系状态`), ''), NULLIF(TRIM(ei.`用工类型`), ''), '') NOT IN ('离职', '辞职', '辞退', '退休', '实习终止', '返聘终止');"
reconcile_hr_extra_010,福建毫米电子有限公司当前检验员和QC检验员分别有多少人？,True,1,True,True,True,True,True,,"SELECT
SUM(CASE WHEN ec.`职位` = '检验员' THEN 1 ELSE 0 END) AS `检验员人数`,
SUM(CASE WHEN ec.`职位` = 'QC检验员' THEN 1 ELSE 0 END) AS `QC检验员人数`
FROM employee_info ei
JOIN employee_change ec ON ec.`员工编号` = ei.`员工编号`
WHERE ei.`组织` = '福建毫米电子有限公司'
AND ec.`结束日期` LIKE '2199%'
AND (
(ec.`部门` IS NOT NULL AND TRIM(ec.`部门`) <> '')
OR (ec.`职位` IS NOT NULL AND TRIM(ec.`职位`) <> '')
)
AND COALESCE(NULLIF(TRIM(ec.`用工关系状态`), ''), NULLIF(TRIM(ei.`用工类型`), ''), '') NOT IN
('离职', '辞职', '辞退', '退休', '实习终止', '返聘终止');"
reconcile_hr_extra_011,当前顶岗实习生岗位员工名单及所属部门是什么？,True,18,True,True,True,True,True,,"SELECT DISTINCT ei.`员工姓名`, ec.`部门`
FROM employee_info ei
JOIN employee_change ec ON ec.`员工编号` = ei.`员工编号`
WHERE ec.`结束日期` LIKE '2199%'
AND (ec.`部门` IS NOT NULL AND TRIM(ec.`部门`) <> '')
AND COALESCE(NULLIF(TRIM(ec.`用工关系状态`), ''), NULLIF(TRIM(ei.`用工类型`), ''), '') NOT IN ('离职', '辞职', '辞退', '退休', '实习终止', '返聘终止')
AND ec.`职位` = '顶岗实习生';"
reconcile_hr_extra_012,当前没有当前岗位但有当前部门的员工有多少人？,True,1,True,True,True,True,True,,"SELECT COUNT(DISTINCT ei.`员工编号`)
FROM employee_info ei
JOIN employee_change ec ON ec.`员工编号` = ei.`员工编号`
WHERE ec.`结束日期` LIKE '2199%'
AND (ec.`部门` IS NOT NULL AND TRIM(ec.`部门`) <> '')
AND (ec.`职位` IS NULL OR TRIM(ec.`职位`) = '')
AND COALESCE(NULLIF(TRIM(ec.`用工关系状态`), ''), NULLIF(TRIM(ei.`用工类型`), ''), '') NOT IN ('离职', '辞职', '辞退', '退休', '实习终止', '返聘终止');"
reconcile_hr_extra_013,当前各子公司员工平均司龄排名前10是什么？,False,0,True,True,True,True,True,"Required keyword: 'expression' missing for <class 'sqlglot.expressions.query.Limit'>. Line 21, Col: 5.
  ', '未知', '无', 'N/A')
AND ei.`司龄_年_` IS NOT NULL
) t
GROUP BY t.`组织`
ORDER BY avg_service_years DESC
[4mLIMIT[0m","SELECT t.`组织`, AVG(t.`司龄_年_`) AS avg_service_years
FROM (
SELECT DISTINCT ei.`员工编号`, ei.`组织`, ei.`司龄_年_`
FROM employee_info ei
JOIN employee_change ec
ON ec.`员工编号` = ei.`员工编号`
WHERE ec.`结束日期` LIKE '2199%'
AND (
(ec.`部门` IS NOT NULL AND TRIM(ec.`部门`) <> '')
OR (ec.`职位` IS NOT NULL AND TRIM(ec.`职位`) <> '')
)
AND COALESCE(NULLIF(TRIM(ec.`用工关系状态`), ''), NULLIF(TRIM(ei.`用工类型`), ''), '') NOT IN
('离职', '辞职', '辞退', '退休', '实习终止', '返聘终止')
AND ei.`组织` IS NOT NULL
AND TRIM(ei.`组织`) <> ''
AND TRIM(ei.`组织`) NOT IN ('未填写', '未知', '无', 'N/A')
AND ei.`司龄_年_` IS NOT NULL
) t
GROUP BY t.`组织`
ORDER BY avg_service_years DESC
LIMIT"
