id,domain,question,schema_basis,test_focus,xiyan_sql,xiyan_validation_valid,xiyan_execution_success,xiyan_result_json,xiyan_error,sql_baseline_confirmed,text2cypher_status,text2cypher_answerable,text2cypher_cypher,text2cypher_validation_valid,text2cypher_result_json,text2cypher_limitation,text2cypher_quality_issue,text2cypher_term_resolution_json,text2cypher_error,auto_compare_status,user_confirmation,confirmation_notes,last_reconcile_run_at
reconcile_hr_extra_001,职称,当前拥有正高级工程师职称的员工名单及所在子公司是什么？,qualification.资质类型/资质名称; employee_info.最高职称内容/组织; employee_change.结束日期/部门/职位/用工关系状态,精确职称名称筛选; 返回员工名单和组织; 当前员工过滤,,,,,,,,,,,,,,,,,,,
reconcile_hr_extra_002,职称,当前各子公司副高级及以上职称员工占本公司当前员工比例是多少？,employee_info.组织/最高职称级别; qualification.资质类型/资质级别; employee_change.结束日期/部门/职位/用工关系状态,组织分组占比; 分子为副高级和正高级职称; 分母为当前员工,,,,,,,,,,,,,,,,,,,
reconcile_hr_extra_003,职称,当前岗位是研发工程师但没有任何职称记录的员工有多少人？,employee_change.职位/结束日期/部门/用工关系状态; qualification.资质类型; employee_info.员工编号,岗位筛选加职称反连接; 区分无职称记录和空职称; 当前员工去重,,,,,,,,,,,,,,,,,,,
reconcile_hr_extra_004,职称,当前拥有会计师职称的员工分别在哪些岗位？,qualification.资质类型/资质名称; employee_change.职位/结束日期/部门/用工关系状态; employee_info.员工姓名,职称名称不是岗位名称; 返回当前岗位明细; 当前员工过滤,,,,,,,,,,,,,,,,,,,
reconcile_hr_extra_005,职称,当前初级职称员工中年龄30岁及以下的人数是多少？,employee_info.年龄/年龄分段/最高职称级别; employee_change.结束日期/部门/职位/用工关系状态,职称级别加年龄段组合筛选; 当前员工去重,,,,,,,,,,,,,,,,,,,
reconcile_hr_extra_006,职称,当前职称名称为技术员但岗位不是技术员的员工有哪些？,qualification.资质类型/资质名称; employee_change.职位/结束日期/部门/用工关系状态; employee_info.员工姓名,职称名称和岗位名称同名时不能混用; 返回职称岗位不一致名单,,,,,,,,,,,,,,,,,,,
reconcile_hr_extra_007,岗位,当前岗位名称包含“工程师”的员工按岗位分布前10是什么？,employee_change.职位/结束日期/部门/用工关系状态; employee_info.员工编号,岗位包含匹配; 岗位分组排名; 过滤无效岗位; 当前员工去重,,,,,,,,,,,,,,,,,,,
reconcile_hr_extra_008,岗位,当前操作员岗位在各子公司分别有多少人？,employee_info.组织; employee_change.职位/结束日期/部门/用工关系状态,岗位加组织分布; 指定岗位精确匹配; 当前员工过滤,,,,,,,,,,,,,,,,,,,
reconcile_hr_extra_009,岗位,当前经理和副经理岗位分别有多少人？,employee_change.职位/结束日期/部门/用工关系状态; employee_info.员工编号,多个相近岗位分别统计; 不合并经理和副经理; 当前员工去重,,,,,,,,,,,,,,,,,,,
reconcile_hr_extra_010,岗位,福建毫米电子有限公司当前检验员和QC检验员分别有多少人？,employee_info.组织; employee_change.职位/结束日期/部门/用工关系状态,指定子公司加相近岗位; 检验员和QC检验员分别输出; 当前员工过滤,,,,,,,,,,,,,,,,,,,
reconcile_hr_extra_011,岗位,当前顶岗实习生岗位员工名单及所属部门是什么？,employee_change.职位/部门/结束日期/用工关系状态; employee_info.员工编号/员工姓名,岗位名单查询; 返回部门明细; 当前员工过滤,,,,,,,,,,,,,,,,,,,
reconcile_hr_extra_012,岗位,当前没有当前岗位但有当前部门的员工有多少人？,employee_change.部门/职位/结束日期/用工关系状态; employee_info.员工编号,当前员工关系边界; 有部门无岗位; 不能把组织归属当当前岗位,,,,,,,,,,,,,,,,,,,
reconcile_hr_extra_013,子公司,当前各子公司员工平均司龄排名前10是什么？,employee_info.组织/司龄_年_; employee_change.结束日期/部门/职位/用工关系状态,组织维度平均司龄; 当前员工过滤; 过滤无效组织; 平均值排序,,,,,,,,,,,,,,,,,,,
reconcile_hr_extra_014,子公司,当前各子公司30岁及以下员工占比是多少？,employee_info.组织/年龄/年龄分段; employee_change.结束日期/部门/职位/用工关系状态,组织维度年龄占比; 分子30岁及以下; 分母当前员工,,,,,,,,,,,,,,,,,,,
reconcile_hr_extra_015,子公司,广州天极电子科技股份有限公司当前各部门人数排名前10是什么？,employee_info.组织; employee_change.部门/结束日期/职位/用工关系状态,指定子公司下部门排名; 当前员工过滤; 过滤无效部门,,,,,,,,,,,,,,,,,,,
reconcile_hr_extra_016,子公司,当前员工人数少于20人的子公司有哪些？,employee_info.组织; employee_change.结束日期/部门/职位/用工关系状态,组织分组后HAVING筛选; 小规模子公司识别; 当前员工去重,,,,,,,,,,,,,,,,,,,
reconcile_hr_extra_017,子公司,当前各子公司研发工程师人数和销售工程师人数分别是多少？,employee_info.组织; employee_change.职位/结束日期/部门/用工关系状态,组织加岗位交叉统计; 两个岗位分别输出; 当前员工过滤,,,,,,,,,,,,,,,,,,,
reconcile_hr_extra_018,子公司,当前各子公司中高级职称员工人数排名是什么？,employee_info.组织/最高职称级别; qualification.资质类型/资质级别; employee_change.结束日期/部门/职位/用工关系状态,组织加中高级职称排名; 中级副高级正高级; 当前员工去重,,,,,,,,,,,,,,,,,,,
reconcile_hr_extra_019,专业,当前电子信息工程专业员工按子公司分布是什么？,education.专业; employee_info.组织; employee_change.结束日期/部门/职位/用工关系状态,专业加组织分布; 多教育经历去重; 当前员工过滤,,,,,,,,,,,,,,,,,,,
reconcile_hr_extra_020,专业,当前计算机科学与技术专业员工中研发工程师岗位有哪些人？,education.专业; employee_change.职位/结束日期/部门/用工关系状态; employee_info.员工编号/员工姓名,专业加岗位组合名单; 当前员工过滤; 多教育经历去重,,,,,,,,,,,,,,,,,,,
reconcile_hr_extra_021,专业,当前专业为空或“无”的员工有多少人？,education.专业; employee_info.最高专业; employee_change.结束日期/部门/职位/用工关系状态,用户明确统计无效专业; 不应套用默认过滤无效值规则; 当前员工去重,,,,,,,,,,,,,,,,,,,
reconcile_hr_extra_022,专业,当前材料科学与工程专业员工的平均年龄是多少？,education.专业; employee_info.年龄; employee_change.结束日期/部门/职位/用工关系状态,专业筛选加年龄平均值; 当前员工过滤; DISTINCT后求平均,,,,,,,,,,,,,,,,,,,
reconcile_hr_extra_023,专业,当前各专业中副高级及以上职称员工人数排名前10是什么？,education.专业; employee_info.最高职称级别; qualification.资质级别; employee_change.结束日期/部门/职位/用工关系状态,专业加职称等级分组排名; 过滤无效专业; 当前员工去重,,,,,,,,,,,,,,,,,,,
reconcile_hr_extra_024,专业,当前电子信息工程和通信工程专业分别有多少当前员工？,education.专业; employee_change.结束日期/部门/职位/用工关系状态; employee_info.员工编号,多个专业分别统计; 不合并相近专业; 当前员工去重,,,,,,,,,,,,,,,,,,,
reconcile_hr_extra_025,项目,当前参与过SAP项目或SAP上线项目的员工有哪些？,work_experience.经历类型/名称/角色; employee_change.结束日期/部门/职位/用工关系状态; employee_info.员工姓名,多个项目名称OR筛选; 项目经历名单; 当前员工过滤,,,,,,,,,,,,,,,,,,,
reconcile_hr_extra_026,项目,当前项目经历中项目名称为空或为“无”的记录涉及多少员工？,work_experience.经历类型/名称; employee_change.结束日期/部门/职位/用工关系状态; employee_info.员工编号,用户明确统计无效项目名称; 不应默认过滤后再回答; 当前员工去重,,,,,,,,,,,,,,,,,,,
reconcile_hr_extra_027,项目,当前参与过电容器高温电性能测试项目的员工所在部门和岗位是什么？,work_experience.经历类型/名称/角色; employee_change.部门/职位/结束日期/用工关系状态; employee_info.员工姓名,指定项目名称; 返回当前部门岗位; 项目经历与当前任职组合,,,,,,,,,,,,,,,,,,,
reconcile_hr_extra_028,项目,当前有2020年以后结束的项目经历员工有多少人？,work_experience.经历类型/结束时间/名称; employee_change.结束日期/部门/职位/用工关系状态; employee_info.员工编号,项目经历时间筛选; 当前员工过滤; 多项目经历去重,,,,,,,,,,,,,,,,,,,
reconcile_hr_extra_029,项目,当前各项目参与员工数排名前10是什么？,work_experience.经历类型/名称; employee_change.结束日期/部门/职位/用工关系状态; employee_info.员工编号,项目分组排名; 过滤空值和无效项目名称; 当前员工去重,,,,,,,,,,,,,,,,,,,
reconcile_hr_extra_030,项目,当前有项目经历但没有绩效记录的员工有多少人？,work_experience.经历类型/名称; performance.员工编号; employee_change.结束日期/部门/职位/用工关系状态,项目经历加绩效反连接; 当前员工过滤; DISTINCT去重,,,,,,,,,,,,,,,,,,,
reconcile_hr_extra_031,绩效,2024年S卓越员工名单及所在子公司是什么？,performance.考核年份/考核结果; employee_info.组织/员工姓名; employee_change.结束日期/部门/职位/用工关系状态,绩效等级精确筛选; 返回名单和组织; 当前员工过滤,,,,,,,,,,,,,,,,,,,
reconcile_hr_extra_032,绩效,2024年绩效A优秀且2023年也是A优秀的当前员工有多少人？,performance.考核年份/考核结果; employee_change.结束日期/部门/职位/用工关系状态; employee_info.员工编号,跨年度同员工绩效交集; 当前员工过滤; 避免不同员工记录串联,,,,,,,,,,,,,,,,,,,
reconcile_hr_extra_033,绩效,当前员工2024年绩效结果按子公司分布是什么？,performance.考核年份/考核结果; employee_info.组织; employee_change.结束日期/部门/职位/用工关系状态,绩效结果加组织交叉分布; 当前员工过滤; 过滤空绩效结果,,,,,,,,,,,,,,,,,,,
